cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Ackawi	"pasteurized cow's, goat's or sheep's milk"	"Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East and Syria"	Aker	Feta	"soft, brined"			natural	"elastic, smooth and springy"	white	"mild, milky, salty"	"mild, milky"	Various		"Akawi, Akawieh, Akkawi"	no	"Ackawi (also spelt Akawi, Akkawi or Akawieh) is a Middle Eastern cheese named after Acre (locally known as Akko, Akka), a city in the Northern District of Israel. In Arabic, akkawi means ""from Akka"". It is soft unripened brine cheese with a chewy, smooth consistency and a very mild, slightly salty flavor. The cheese is widely popular across the Levant region, where it is used as a table cheese, eaten as it or paired with fruit. The cheese is commonly made using pasteurized cow's milk but can be made with goat or sheep's milk as well. It is produced on a large scale in Israel, Lebanon, Jordan, Syria, Gaza, Egypt, and Cyprus, where people typically eat it with a soft flatbread at lunch and dinner. Its texture can be compared to Mozzarella, Feta or Mizithra, as it does not meltdown very well. The resistance to melting makes it an excellent frying cheese. The cheese can be stored for up to a year."
Acorn	unpasteurized sheep's milk	United Kingdom	Bethania		"hard, artisan"	52%			crumbly and firm		"burnt caramel, citrusy, herbaceous"	fruity				yes	"Acorn cheese is a hard, full-fat cheese made entirely from Friesland sheep's milk by Karen and Don Ross at their Little Acorn farmhouse at Bethania in Ceredigion. The cheese is made from unpasteurised sheep's milk using vegetarian rennet. It has a firm, crumbly texture with herbaceous flavor complemented by deep notes of cream caramel, crushed nuts and a citrus finish. The cheese ripens in three to six months. Traditional Welsh vegetables and leeks go well with the cheese."
Adelost	pasteurized cow's milk	Sweden		Blue	"semi-soft, blue-veined"	50%		natural	creamy	blue	"salty, sharp, tangy"	strong					"Adelost is a Swedish blue cheese made from pasteurized cow's milk. The blue-grey veins running throughout are a distinctive feature of the cheese. It has a sharp, salty and tangy flavor. The ripening process is for two to three months. The cheese comes in a drum shape with a rind of pale cream, which is lightly dotted with moulds."
ADL Brick Cheese	pasteurized cow's milk	Canada	Prince Edward Island	Cheddar	semi-soft	12%		rindless	"elastic, firm, open and soft"	ivory	"buttery, mild, milky, subtle"	"buttery, sweet"	ADL - Amalgamated Dairies Limited				"This cheese is currently unavailable on official site.  Authentically a North American cheese, ADL Brick is named after the bricks that were used by Wisconsin cheesemakers to press the cheese in the late 19th century. It is made from pasteurized cow's milk and carefully aged for about 2 months, during which it develops a soft texture and mildly milky flavor with a hint of butter. Brick cheese is rindless with a white to ivory interior and irregular ""eyes"" holes. It has an elastic texture but less firm or sharp than Cheddar. Serve Brick cheese with macaroni, potatoes au gratin, pickled vegetables or on toasted Italian bread. Young Brick cheese goes well with light red wines, Gamay Beaujolais and sweet pickles. Whilst, an aged Brick pairs with robust beers, Porter style ale and hard cider."
ADL Mild Cheddar	pasteurized cow's milk	Canada	Prince Edward Island	Cheddar	semi-hard	14%		rindless	firm and springy	yellow	"acidic, buttery, milky, subtle"		ADL - Amalgamated Dairies Limited				"ADL Mild Cheddar is made from pasteurized cow's milk and carefully aged for about 3 months, during which it develops a subtle milky flavor and slightly springy texture. It has a bright and smooth surface of light yellow or orange color. Flavors are slightly acidic with a light taste of butter. Enjoy the cheddar on a slice of apple pie and with a glass of Red Wine."
Affidelice au Chablis	pasteurized cow's milk	France	Burgundy		soft	55%	26 mg/100g	washed	creamy and smooth	orange	"fruity, mild, tangy"	"perfumed, strong"	Fromagerie Berthaut			no	"The cheese is currently unavailable on producers site. Given that Affidélice au Chablis is born in Burgundy, it bears a lot of similarity to Epoisses cheese. Made from pasteurised full cream cow’s milk in spring-fall season, the cheese takes 3-4 weeks to fully mature. The highlight of the cheese is that it is regularly washed with Chablis, a local high-status white wine until the maturing process is over. This bath in wine slowly makes its impact on the yellow-orangish ferments inside the cheese. As it nears maturity, the cheese glows of a deep copper pigmentation to reveal the richness of Burgundian soils. Once the cheese is removed from the wooden box, it turns extremely creamy and velvety. The texture is dense covered by a soft, moist, orange rind. The mild, savoury flavor perfectly sets off the strong, aromatic smell of the cheese. It goes well with sweet and acidic fruits. It augments the flavor of dry white wines like Chardonnay and of course Chablis."
Affineur Walo Rotwein Sennechäs	unpasteurized cow's milk	Switzerland	Bern	Swiss Cheese	"hard, artisan"	59%		washed	smooth	cream	"creamy, pronounced, spicy, sweet"	"pungent, rich, strong"	Affineur Walo of Mühlenen	"Affineur Walo red wine Sennechäs, Affineur Walo Red Wine Farmer"		no	"Affineur Walo Rotwein Sennechäs is a hard Swiss cheese matured for 7-10 months in local red wine, giving it its black-brown bark and full-throttle flavor. Characteristically a Swiss cheese with a sweet creamy back note and silky-smooth texture, this wine washed speciality imparts a pungent flavor to balance the sweetness. Either you can love or just can't stand it for its powerful flavor, but you can't ignore Affineur Walo Rotwein Sennechäs! This is a dessert cheese in cold and hot dishes. The powerful but pure taste is perfectly suited to a strong, fruity white wine or red wine as well as many strong beers."
Afuega'l Pitu	pasteurized or unpasteurized cow's milk	Spain	Asturias		"soft, artisan"	45%		cloth wrapped	smooth		"spicy, strong"					no	"Afuega'l Pitu is one of the oldest Spanish cheeses. It is also famous as one of the most widespread Asturian cheeses. The name Afuega'l Pitu is derived from the 'bable' Asturian dialect. It means 'choking cake'. The name Afuega'l Pitu also symbolises one of the legendary Spanish customs, 'drowning the rooster' referring to cheese producers feeding a piece of the freshly made cheese to a rooster. The cheese is produced from cow's full-fat milk in towns that dot the lower basins of river Narcea and river Nalón in the central Asturias-Northern Spain. It is made by curdling in a mould at a temperature of between 20° and 25°C (68° and 77°F), for 10 to 48 hours. During its preparation, animal rennet is added. The cheese comes in different types recognised by its shape, added ingredients, and the ageing period.  Troncado/Atroncáu (Trunk): the shape of a bishop's mitre or inverted flowerpot Trapo/Trapu (Rag/Cloth): cheese block is round and resembles a shape of a cloth bag Roxu/Rojo: paprika (red chilli or bell pepper powder) is added while making the cheese, or the cheese is rolled in paprika, taking its red color. This type of Afuega’L Pitu has a very strong, spicy flavor as it is always eaten when matured. It is tasted like a ""tapa"" or dessert, generally accompanied by bread. Blanco/Blancu: made without adding paprika.   The cheese is also available in three varieties, Cured, Semi-cured and Soft, depending on the ageing period. Though this cheese is produced all year round, the best type is the one made during spring and winter as the fat content of the milk is at its highest! Afuega'l Pitu is eaten either when fresh and slightly aired or once matured after several weeks in a fresh, damp, well-ventilated atmosphere."
Aged British Cheddar	cow's milk	United States	NY	Cheddar	"hard, artisan"			natural	"crumbly, crystalline and flaky"	pale yellow	"sharp, tangy"	"nutty, sweet"	Muranda Cheese Company				"Muranda Cheese Company's cow's milk Aged British Cheddar is matured for one year to develop a sharp bite with tangy, sweet and nutty flavors. It is smoked with a natural smoke from hickory and applewood, thereby making it a perfect match for any red wine or blonde ale."
Aged Cashew & Blue Green Algae Cheese		United States	Brooklyn NY		"firm, artisan"				firm and spreadable	blue	"creamy, mellow, oceanic, tangy"	rich	Dr. Cow Tree Nut Cheese			yes	"Producer(s) may have discontinued manufacturing of the cheese. Dr-Cow's Aged Cashew & Blue Green Algae Cheese is blue-sea or light blue in color. It is aged for 3 months and made using organic raw cashews nut with Crystal Manna flakes. Crystal Manna is a unique blue-green algae that grows wild in the spring-fed pure waters of Upper Klamath Lake, Oregon. This firm slightly tangy but mellow cheese has that wonderful sea flavor that is perfect for crumbling or smearing on crackers or vegetables. This artisanal cheese is 100% dairy free, no gluten, no casein, no soy and lactose-free, 100% organic and vegan."
Aged Cashew & Brazil Nut Cheese		United States	Brooklyn NY		"firm, artisan"				firm and spreadable	brown	"creamy, nutty, sweet"	"nutty, rich"	Dr. Cow Tree Nut Cheese			yes	"This cheese is currently unavailable on official site. Dr-Cow's Aged Cashew & Brazil Nut Cheese is beige in color with brown dots. It is aged for 3 months and made using organic really raw cashew & organic brazil nuts. This creamy, individually-packaged cheese is firm, slightly nutty, and very rich. It is a perfect snack cheese but can also be used for crumbling or smearing on crackers or pastries. This artisanal cheese is low in fat, sodium and calories, contains zero cholesterol and is a good source of vegetable protein. It is cheese is absolutely free of preservatives, stabilizers, artificial ingredients or additives of any kind. Plus there is no gluten, casein, soy and is lactose free, 100% organic and vegan."
Aged Cashew & Dulse Cheese		United States	Brooklyn NY		"firm, artisan"				firm and spreadable	brown	"creamy, oceanic"	rich	Dr. Cow Tree Nut Cheese			yes	"This cheese is currently unavailable on official site. Dr-Cow's Aged Cashew & Dulse Cheese is whitish cheese with purple dots. It is aged for 3 months and made using organic raw cashews nut and this amazing sea algae dulse. This firm but creamy, individually-packaged cheese has that wonderful sea flavor, which goes very well with crackers or figs. Fishy but slightly ocean, it is a perfect for crumbling or smearing on crackers or vegetables. This artisanal cheese is low in fat, sodium, calories, zero cholesterol, high in iron and vegetable protein. It is also absolutely free of dairy and gluten."
Aged Cashew & Hemp Seed Cheese		United States	Brooklyn NY		"firm, artisan"				firm and spreadable	brown	"creamy, mild, nutty, spicy"	"nutty, rich"	Dr. Cow Tree Nut Cheese			yes	"This cheese is currently unavailable on official site. Dr-Cow's Aged Cashew & Hemp Seed Cheese is camel or natural color with green dots. It is aged for 3 months and made using organic raw cashew nuts and hemp seeds. This creamy, individually-packaged cheese is firm with a mild flavor yet slightly spicy. It is a perfect snack cheese but can also be used for crumbling or smearing on crackers or pastries. This artisanal cheese is low in fat, sodium and calories, contains zero cholesterol and is a good source of vegetable protein. It is absolutely free of preservatives, stabilizers, artificial ingredients or additives of any kind. Plus there is no gluten, casein, soy and is lactose free, 100% organic and vegan."
Aged Cashew Nut & Kale Cheese		United States	Brooklyn NY		"firm, artisan"				firm and spreadable	green	"creamy, oceanic, tangy"	rich	Dr. Cow Tree Nut Cheese			yes	"This cheese is currently unavailable on official site. Dr-Cow's Aged Cashew Nut & Kale Cheese is light green in color. It is aged for 3 months and made using organic raw cashew nuts and organic Kale Powder. This firm slightly tangy green, and very rich cheese is perfect for crumbling or smearing on crackers or vegetables. This artisanal cheese is low in fat, sodium and calories, contains zero cholesterol and is a good source of vegetable protein. It is absolutely free of preservatives, stabilizers, artificial ingredients or additives of any kind. Plus it is 100% dairy free, no gluten, no casein, no soy and lactose free, 100% organic and vegan."
Aged Cashew Nut Cheese		United States	Brooklyn NY		"firm, artisan"				firm and spreadable	golden yellow	"creamy, nutty, subtle"	"clean, fresh, nutty"	Dr. Cow Tree Nut Cheese			yes	"Dr-Cow's Aged Cashew Nut Cheese (Plain Aged Cashew Cheese) is a goldish-blonde aged cheese made using naturally sweet and delicious Indonesian cashews. It is aged for 3 months, during which the cheese develops a firm texture and creamy, mellow flavor. This artisanal cheese is low in fat, sodium and calories, contains zero cholesterol and is a good source of vegetable protein. It is absolutely free of preservatives, stabilizers, artificial ingredients or additives of any kind. Plus there is no gluten, casein, soy and is lactose-free, 100% organic and vegan. A popular alternative for vegans, you can smear Aged Cashew Nut Cheese on crackers or pastries. Other varieties include: Reishi Mushroom Aged Cashew Cheese: Reishi Spores and Shilajit are added while making this cheese. It is aged for a minimum of 7 weeks and is gold and dark brown in color with bold and cheesy odour. Truffle Aged Cashew Cheese: A golden colored cheese with blue red and yellow sparks is aged for a minimum of 7 weeks. White truffle salt, sparks of powder (carrot, blue-green algae, beets) are is added while making this cheese which gives hints of garland musky fragrance. Smoked Aged Cashew Cheese: While preparing this cheese black tea is sprinkled throughout the cheese which gives the smoky flavor. It is also aged for a minimum of 7 weeks. Cajun Aged Cashew Cheese: Cajun are sprinkled on top and bottom which makes this cheese spicey in taste. It is also aged for a minimum of 7 weeks."
Aged Chelsea	pasteurized goat's milk	United States	"Ann Arbor, Michigan"		soft			mold ripened	creamy and spreadable	ivory	"acidic, buttery, sweet"	goaty	Zingermans.com LLC			no	"This cheese is currently unavailable on official site. Aged Chelsea is an American cheese made with pasteurised goat's milk, vegetable ash and animal rennet. It is produced by Zingerman's Creamery in Ann Arbor, Michigan.Inspired by the cheeses from the Loire River Valley in France, Chelsea is a mould-ripened goat log coated in edible vegetable ash. Its texture is gooey, creamy and spreadable with a taste that is evocative of a gentle flavor of the goat milk.Because of the striking appearance, sliced discs of Aged Chelsea go very well on a cheese plate. Blend it with a puff pastry, traditional bries or spread on a crusty baguette. Sweet white wines of the Loire Valley such as Vouvray, Muscadet, Sancerre & Pouilly Fume pair best with the cheese."
Aged Gouda	"pasteurized or unpasteurized cow's, goat's or sheep's milk"	Netherlands	"South Holland, Gouda"	Gouda	"hard, artisan, brined, processed"	76%	958 mg/100g	waxed	"brittle, crumbly, crystalline and flaky"	yellow	"burnt caramel, full-flavored"	"rich, ripe"		"Jong belegen Gouda, Belegen Gouda, Extra belegen Gouda, Oud Gouda, Overjarig Gouda, Five-Year Aged Gouda, Gouda, Aged Four Years"		no	"Gouda, or ""How-da"", as the locals say, is a Dutch cheese named after the city of Gouda in the Netherlands. If truth be told, it is one of the most popular cheeses globally, accounting for 50 to 60% of the world's cheese consumption. There are several types of Gouda, classified by age. From all of these, hard-core Gouda fans prefer to taste the aged Gouda, as they feel it takes years of maturing to bring out the complex flavors of the cheese. Aged Gouda is prepared similar to other Gouda cheeses by separating curds and whey through a heating process. As with all other cheeses, aged Gouda gets its color by adding a coloring agent called annatto. With ageing, Gouda develops calcium lactate crystals formed by the lactic acid in the cheese. It proffers an enjoyable crunch that is unique to waxed cheeses. However, the rind of a five-year aged Gouda is unfit for human consumption. The longer a cheese is kept in maturation cellars, the more aromatic and full-flavored it becomes. Similarly, Aged Gouda, such as a five-year aged cheese, develops a strong flavor that cheese aficionados prefer to eat alone. Accompaniments seem pale in comparison to their caramel and robust flavor. Gouda cheese goes well with beer and red wines. The taste of Vintage or Aged Gouda gets a new definition when paired with some white wines and fruity wines."
Aggiano	pasteurized cow's milk	United States	Utah		"hard, artisan"				creamy and dry	cream	"butterscotch, tangy"	fruity	Beehive Cheese Company			yes	"The producer may have discontinued manufacturing of the cheese. Aggiano is a dry cheese made with pasteurized Jersey milk. It is produced by Beehive Cheese Company in Utah, United States. It gets its name from the Utah State University Aggies, who have suggested the recipe of this cheese. This dry yet creamy cheese is tangy in taste with pineapple, butterscotch notes. Try pairing it with a medium to full-bodied red wines, fruity wheat beers, champagne, citrusy white wines, or rye whiskey. Eat it with toasted nuts, chocolate, fresh fruits or charcuterie, salads and pasta."
Ailsa Craig	pasteurized goat's milk	Scotland and United Kingdom	Stewarton		"semi-soft, artisan"			rindless	creamy and fluffy	white	creamy	goaty	Dunlop Dairy		Paddy's Milestone	yes	"Ailsa Craig (locally known as 'Paddy's Milestone') named after the landmark island in the Firth of Clyde is a Scottish cheese made from pasteurized goat's milk. Produced by Dunlop Dairy, at Clerkland Farm, Stewarton, Scotland, this rock shaped cheese is wrapped like a parcel. This fluffy, beautifully crafted cheese is creamy in taste with goaty flavor and instantly melts in the mouth."
Airag	mare's milk	Mongolia and Turkey			"soft, artisan"			rindless	creamy		sour			Kumis	Ayrag	no	"Airag, also called Kumis or Ayrag is a fermented dairy product made from raw mare's milk. It is the traditional drink for many people of Central Asia, particularly of Huno-Bulgar, Turkic and Mongol origin. The milk can be mildly alcoholic, but it needs to be consumed in enormous quantities to have any noticeable effect. The milk is fermented by a combination of lactic acid bacteria and yeast in a horse-hide container called a ""saba"". Since the milk is fermented; Airag is suitable for lactose intolerant people. The taste of the milk is sour but can be quite yummy. Airag is used to make cheese, yoghurt."
Airedale	pasteurized cow's milk	New Zealand	Airedale farming district		"semi-soft, artisan"			waxed	smooth	pale yellow	"full-flavored, milky, salty, tangy"	"grassy, strong"	Whitestone Cheese		Aged Airedale	yes	"Aged Airedale or simply Airedale is a semi-soft gourmet cheese, made by the Whitestone Cheese Company in New Zealand. The cheese is named after the Airedale farming district in North Otagos rolling lowlands, where it is produced. It is an organic cheese made from vegetable rennet. The rind has a deep red wax coating. The cheese is made from semi-pasteurised cow's milk. It has a grassy smell with a light color. Occasional curd holes can be seen in the cheese. Airedale cheese melts on your tongue and has a tangy, salty and milky flavor. This cheese is best paired with Zinfandel wine."
Aisy Cendre	pasteurized cow's milk	France	Burgundy		"semi-soft, smear-ripened"	50%		washed	creamy and smooth	white	"full-flavored, herbaceous, salty, smokey"	"earthy, nutty, smokey"		"Ashen Aisy, Cendre d'Aisy"		no	"Aisy Cendre is a traditional French farmhouse cheese made from pasteurised cow’s milk. The semi-soft cheese produced in the Burgundy region of France is coated with a thick layer of ash that gives a distinctive flavor and aroma. Also known as Cendre d'Aisy, the ash or cendre in French, gives the cheese its name. A washed-rind cheese, mostly an Époisses, is matured by covering with oak or grapevine ash. Before and after rolling it with a coat of ash, the cheese is washed in Marc de Bourgogne wine. Aisy Cendre takes a longer time to mature than normal cheeses, at least a month. As it ripens the pate softens but most cheese lovers enjoy a somewhat firm version of the produce. The aroma of Aisy Cendre is strong and the flavor is aggressive. It is a very rich & creamy cheese with 50% fat content. The centre of the cheese is salty, chalky and almost white in color. As it moves towards the ash-covered rind, the cheese assumes a smoky flavor and smoother, creamier texture. The cheese is sold in small wheels, weighing 8 ounces each. Aisy Cendre works well with fruits like apples and pears, celery sticks. It enhances the tasting experience for fruity, full-bodied Burgundy wine, Hautes Cotes de Nuits Villages or even a full-rounded beer."
Allgauer Emmentaler	unpasteurized cow's milk	Germany	Swabia		hard	45%		natural	firm	yellow	nutty	pungent				no	This is the German version of Emmentaler cheese which originated in Switzerland. It is a hard cheese made from unpasteurised cow's milk. The cheese has a natural rind with a firm texture and a mild nutty flavor with a pungent aroma. This cheese is comparatively milder than its Swiss counterpart. The Maturation period is more than 3 months.
Allium Piper	pasteurized goat's milk	Australia	South Australia		"fresh soft, artisan"	45%			creamy and soft	white	"garlicky, spicy"	"fresh, garlicky, spicy"	Woodside Cheese Wrights			yes	"Allium Piper, a goat's milk cheese is a blend of two South Australian products namely 'Woodside Chevre' made from fresh local goats milk and 'Allisford Farm Organic Hand Harvested Garlic'. Goat milk from Towerview and Oskjberg dairies is used for making the Chevre (meaning Goat in French). After pasteurization the milk is allowed to set using traditional method. Very next day curd is drained for several hours. Very small amount of salt, crushed garlic cloves and little black pepper is added to the curd, and then the mixture is allowed to drain for about 10 days in a controlled environment. This elegant, fresh, white cheese is perfect for cheese board. There is no intense goaty taste, typically associated with goat milk cheeses. It has a characteristic spicy flavor with notes of garlic and pepper. This delicious cheese can be eaten with crusty bread."
Alma Vorarlberger Alpkäse (3-5 months)	unpasteurized cow's milk	Austria	Vorarlberg		"hard, artisan"	34%		natural	firm	yellow	"mild, spicy"	"mild, spicy"	Rupp AG	Vorarlberg Alpine cheese 3-5 months		no	"Alma Vorarlberger Alpkäse is a traditionally produced Austrian PDO cheese, made from raw cow milk.  The cows graze on pristine alpine meadows during this time to produce high quality untreated raw Alp-hay-milk, which is processed directly to make the alpine cheese. It is manufactured by Rupp AG in Austria and sold under the brand name 'Alma'. The cheese is ripened for three to five months on pine boards until it develops a mild typical alpine cheese flavor. During the maturation process, the cheese loaf is brushed and turned daily by hand on the Alpe with brine. This celebrated cheese has won many international awards including gold and bronze at World Cheese Awards 2014."
Alma Vorarlberger Alpkäse (6-9 months)	unpasteurized cow's milk	Austria	Vorarlberg		"hard, artisan"	34%		natural	firm	yellow	"spicy, strong"	"spicy, strong"	Rupp AG	Vorarlberg Alpine cheese 6-9 months		no	"Alma Vorarlberger Alpkäse is a traditionally produced Austrian PDO cheese made from raw cow milk.  The cows graze on pristine alpine meadows during this time to produce high quality untreated raw Alp-hay-milk, which is processed directly to make the alpine cheese. It is manufactured by Rupp AG in Austria and sold under the brand name 'Alma'. The cheese is ripened for six to nine months on pine boards until it develops a strong and spicy alpine cheese flavor. During the maturation process, the cheese loaf is brushed and turned daily by hand on the Alpe with brine.This celebrated cheese has won many international awards including gold and bronze at World Cheese Awards 2014."
